username,tier,tags,enabled
colin_alex,critical,news,true
metrika_co,critical,on-chain|analytics,false
zhusu,critical,glassnode|news,true
santimentfeed,critical,data|alerts,true
lookonchain,critical,whales|on-chain|transfers,true
nansen_alert,critical,whales|alerts,true
whale_alert,critical,whales|bitcoin|transfers,true
ArkhamIntel,critical,whale-tracking|tracing,true
Spotonchain,critical,whale-tracks|on-chain,true
debank_com,high,wallet-tracker,true
zachxbt,critical,hacks|scams|investigative,true
MistTrack,critical,hack-tracking|stolen-funds,true
CertiKAlert,critical,security|audits|hacks,true
ScamSniffer,critical,phishing|scams,true
RugPullFinder,high,rug-pulls|new-tokens,true
APompliano,critical,crypto|macro|news,true
saylor,critical,bitcoin|microstrategy,true
CryptoQuant,high,on-chain|bitcoin,true
BitcoinETFFlow,critical,etf-flows,true
CryptoValkyrie,high,etf|bitcoin,true
BitcoinMagazine,high,bitcoin|news,true
SolanaScribe,high,memecoin|solana|alpha,true
Pumpdotfun,high,meme-launchpad|launches,true
SolanaFloor,high,trending|nfts,true
Birdeye360,high,trending|aggregator,true
HeliusLab,high,dev-tools|updates,true
jump_,high,jump-trading|alpha,true
jumptrading,high,alpha|trading,true
0xMert_,high,defi|trading|alpha,true
aeyakove,high,defi|alpha,true
CryptoMichdel,medium,solana|trading,true
hsingh_,medium,defi|alpha,true
AxerCapital,medium,alpha|trading,true
ShrimpMaxi,medium,alpha|meme,true
GlassnodeAlerts,high,on-chain|alerts,true
CoinGlassAlert,high,liquidations|data,true
coingecko,medium,prices|alerts,true
SentimentBot,high,sentiment,true
AlternativeMe,medium,fear-greed,true
jconorgauder,high,trading|analysis,true
rektcapital,high,bitcoin|trading,true
CryptoCapo_,high,trading|signals,true
ali_charts,medium,charts|technical,true
MerchantMagic,medium,solana|trading,true
CryptoCrier,high,news|alpha,true
TheDeFiEdge,high,tips|defi,true
QwQiao,medium,defi|trading,true
investingwiz,high,signals|alpha,true
cryptocortex_,high,trading|signals,true
sama,critical,openai|breaking,true
ylecun,high,meta|ai,true
balajis,high,bitcoin|tech|startups,true
naval,medium,wisdom|startups,true
lexfridman,medium,interviews|ai,true
DavidSacks,medium,vc|tech,true
DeFiLlama,high,tvl|protocols,true
Uniswap,medium,dex|trades,true
RaydiumProtocol,medium,solana|dex,true
JupiterExchange,high,solana|aggregator,true
VitalikButerin,critical,ethereum|tech,true
aantonop,high,bitcoin|education,true
uni_cyan,medium,uniswap|defi,true
AaveAave,medium,lending|protocols,true
memecoin_mix,high,alpha|new-coins,true
memecoin_alpha_,high,alpha|signals,true
whale_traderPRO,high,trades|whales,true
solmemetrades,high,solana-meme|trades,true
MemeCoinSanta,medium,signals|alpha,true
bitcoin_elon,medium,bitcoin|elon,true
CryptoX,medium,aggregator,true
CryptoYapper,high,news|alpha,true
TheCryptoLark,medium,news|analysis,true
eldefaccio,medium,bitcoin|macro,true
woonomic,medium,on-chain|bitcoin,true
gaborgabor,medium,bitcoin|analysis,true
CryptoSaurusRex,high,alpha|trading,true
TraderMayne,high,alpha|signals,true
